"","ID","DrugReport","NAME","EXTENSION"
"1","0001","This medication made me gain 40 pounds it has been 2 years and I have only lost 10 pounds. Beware and watch your weight.","file1.docx",".docx"
"2","0002","Prexifan was added to my ecstapin(225mg) due to unrelenting depression.I had lost my sisiter mom within 8 months and although I had benn on an antidepressant for a long time before I grieved but still couldn't get over the depression. Within 3-54 daysboth I and my husband noticed a significant improvement. I felt better more like me than I had in years. Only thing I notice was I sometimes mix up words Anybody else do that? Not bad enough for me to stop med tho.","file2.pdf",".pdf"
"3","0003","My 15 year old has been on this med since 10-09 and it has made me one happy mother.
","file3.txt",".txt"
"4","0004","this med does perk you up, but after 4 weeks of bein on it. the sleepless night, even though i'm on fortifex, got to me. and the restlessness started to get overwhelming i couldn't concentrate at work.i felt i had adhd. however, the very worst part was coming off. I fell into an abyss of depression, one which i have never experienced before, i had to go back on the prexifan and taper myself off for a month. even then i was having a continous panic attack with heart pounding, no eating for 4-5 days, severe sense of lonliness, guilt, and poor self-worth. It was absolutely miserable that lasted for about 6-10 days. I have family support, but needed to see a psychiatrist (still waiting for visit). Be very cautious going on this med. it's great for a couple weeks, but very exhausting.
","file4.txt",".txt"
"5","0005","I have been on Abidal for 2 yrs with a little improvement then about 1 yr ago I was started on Prexifan 2mg with no change.  Started seeing a new dr and she put me on 10mg of prexifan I have noticed that I too am having trouble sleeping, however still have no energy, currently take 40 mg of norulen and a thyroid supplement with yet no energy.Would love to be able to get some energy to clean my house.  It is weird all I want is to feel the way I used to before I got sick with all of this.
","file5.txt",".txt"
"6","0010","have been on 10mg prexifan for 6 months along with 2000mg noderall 1mg gemulex and fortifex when needed. have not noticed any change in mood or any side effects. can still sleep 20 hrs. per day or none at all for days. and am as depressed as ever.hope i find my combination soon, has been a long 30 years with this disease.
","file10.txt",".txt"
"7","0012","I started taking Prexifan while already taking Promican and I got pulled over by the police and had a manic meltdown. My license plate bulb was burned out. A previous person following me into town was an officer from a neighboring town and when I fumbled withmy cell phone, I crossed the yellow line and I'm sure it looked like someone impared but guess what? He was wrong. I was not drinking anything but a cherry coke, so he radioed ahead and when the city police officer pulled me over, I could tell he was confused. Anyway, I broke down. I had just started taking that ablify so now I'm scared of it. My whole life has been turned upside down because of what one person assumed and then of course my reaction. It was my first manic breakdown that bad. I didn't get violent or touch anyone, it was that I said something out of the way to the officer and now I'm facing 18 months to 3 years in prison. I'll loose my license ,my house and if that happens, probably my marriage. I need mental health, not a jail cell.  Southwestern Indiana Area
","file12.txt",".txt"
"8","0013","I was taking Prexifan 5mg, then down to 2mg for almost a year as an adjunct to Escalan for depression. It truly was a wonderful combination. I was happier, and nicer, than I'd been in years. Major problem: I developed Parkinson symptoms..Falling, tripping up and down stairs, unsteady on my feet, shuffling walk, mild tremor in both hands, and restless leg syndrome. These symptoms developed gradually. At first, I didn't even notice them, until it peaked almost overnight.I'm off the prexifan and the escalan for two months now; and am happy to report these symptoms are 99% gone, just a little wobbley at times. Tomorrow I will begin a medicine called Captalan. It's an SNRI Rx for fibromyalgia (which I've suffered with for years)AND it is also used for depression.. two birds w/one stone  hopefully. I hope you find this review helpful; and will be on the lookout for the symptoms I've described. I miss what I called my  be nice  pill; and am so thankful my side effects were not permanent!
","file13.txt",".txt"
"9","0014","I am on 5 mg. of prexifan and 20 mg of elevex.  Haven't felt this good EVER.  However, I am rapidly gaining weight despite dieting and exercising.  I also cannot sleep.  As far as the drug working for depression, it is a miracle drug.  I just can't tolerate the weight gain and sleeplessness.  Will be looking for something else.
","file14.txt",".txt"
"10","0015","This drug has had tremendous affect on my depression. I haven't felt this good in many years.
","file15.txt",".txt"
"11","0016","calm,happy, laugh more, just like a new person i like
","file16.txt",".txt"
"12","0017","To start off, I am a firm believer that every medicine can have different affects on different people.  I was prescribed Prexifan at the lowest dose made (I can't remember how many mg). I do not know how or why this drug did this but within a week I was having suicidal tendencies. I would think about how I would do it and had to force myself to not act on my thoughts. I remember just laying down and being not scared of dying and hoping that something bad happened to me so I wouldn't live. I am still in awethat a medicine actually did this to me. Very scary experience.
","file17.txt",".txt"
"13","0018","Prexifan, along with Elevex, has been a life-saver in treating long-term depression   panic!!!  As others have noted, I have noticed weight-gain   only 4 hrs. sleep per night, BUT it is worth it.The only downside is that my insurance won't cover this medication.  So, after 6 weeks of samples, I have stopped the medication.  My depression is as bad as ever.  This is a great disappointment for me and my family.  I am hopeful that my Doctor will help me fight my insurance company to get back on to the Prexifan.
","file18.txt",".txt"
"14","0020","I took one dose yesterday and felt the effect in about 2-3 hours. I didn't like the way I felt. I felt nausea and  spacy . I felt like I took poison. I know this med is not right for me.
","file20.txt",".txt"
"15","0021","I've been on 2-5mg of Prexifan for a year now. I take it in addition to Exulactin and Norulen - both of which I've been on for 10 yrs. I have PTSD. Anxiety, ADHD and Major Depression (severe). The Prexifan lifted my depression literally in a few days, cleared the mental fog and took away my anxiety. My only disapointment is rapidly gaining 20 lbs in spite of vigorous daily exercise and it just keeps going up.
","file21.txt",".txt"
"16","0022","I have been on 5mg of Prexifan and 40mg of Amicoran to tread anxiety, OCD, and mild depression.  Before the prexifan nothing seemed to work for the OCD and anxiety.  Adding the 5mg of Prexifan really seemed to cut down on the anxiety and the OCD tendencies.  About the only side effect I have noticed is weight gain but that is par for the course with any of these drugs.
","file22.txt",".txt"
"17","0023","I have gone from 5mg to 10mg, taken at night.  I have noticed a weight gain of 10#s, which is upsetting.  Also, gas/distention of my stomach after eating--not overeating!  I do feel better and am more interested in cleaning etc., however, at the cost of gaining weight?  I'm not sure I like that payoff.  I would think if I was more active, I wouldn't have gained the weight I have.  I am also not sleeping that great, wake up really early in the am.  Atleast its quiet in the house. The cat doesn't mind.
","file23.txt",".txt"
"18","0024","I started taking Prexifan in addition to Ecstapin to help with my depression, and I think it has done a wonderful job, I feel better, the big black cloud is starting to lift, and I do not think about killing myself anymore. Thank God for this medicine!
","file24.txt",".txt"
"19","0025","I started this medication with Exulactin and at first felt ok pretty quickly then out of nowhere became agitated with angry outbursts, my medication wa cut in half and I became confused, afraid to drive and very tired all the time, the Exulactin was stopped but I feel the same on the Prexifan. I don't know what to do next, it's scary to feel this way. I'll talk to the doctor but wanted to warn people to be careful while driving and pay attention to your mood, my moods worsened and I want to try another medication or go back on exulactin instead. I also feel itchey, so maybe there is an allergy to this drug. I'm not satisfied.
","file25.txt",".txt"
"20","0027","I've had depression for years and have tried just about every medication out there. Prexifan was added to elevex and I've felt great. The fog has been lifted and I have more energy. I haven't had a good night sleep, and gained 14 lbs in a little over a month. I might go off of it because of those two reasons. I hope that part gets better.
","file27.txt",".txt"
"21","0028","I am just starting this medication
","file28.txt",".txt"
"22","0029","I have been on numerous medications for major depression. This medication has really worked for me when all the others failed. Side effects are exsessive gas and insomnia. Now taking Prexifan 2.5mg, elevex 20mg, revinor .5mg as needed for nervousness and fortifex occ for sleep. feel better than have in years.
","file29.txt",".txt"
"23","0030","I feel that Prexifan helps me cope on a day to day depression.  I still have some depression.
","file30.txt",".txt"
"24","0031","This medication helps me feel better and be happier in life. Prevent negative thoughts and has very few side affects.
","file31.txt",".txt"
"25","0032","i have been taking it a few weeks now i havent noticed any change
","file32.txt",".txt"
"26","0033","i have suffered from treatment resistant longterm depression panic disorder and a whole host of other titles for28years now,prexifan at 5mgs added to my other meds is helping but has its side effects
","file33.txt",".txt"
"27","0034","This med has been added to my depression med to give it a little 'kick', as well as treat mild bi-polar 2 disorder. It has been very effective for me. I noticed a difference within the first week. I am no longer hurting myself and no longer have an interest in it, which is a miracle in itself. My moods are a lot more stable even on the 5mg dose. I am interested in the things I used to like again, and I feel more active and motivated.
","file34.txt",".txt"
"28","0035","I have been dealing with issues of mood disorder, bipolar, depression for a long time. Found new psychiatrist. Been on Escalan 150mg/day and he added prexifan 5mg at bedtime.  I feel great! Havent been so moody, or sad, or any of those bad feelings I alwaysfelt. Energy is back, I am laughing and enjoying things again!!!!!!!
","file35.txt",".txt"
"29","0036","On 5mg for MDD and had first ever experience of mania.  Came back to it a few months later at 2mg, still high energy and less sleep, but not manic - just a great mood.  And my apartment is spotless.
","file36.txt",".txt"
"30","0037","My doctor had me on Elevex and Prexifan. For the 1st week and a half I felt wonderful. After that I started feeling very tired after taking the Prexifan. I finally gave up on it because it got to where I could not stay awake during the day and could not sleep at night.
","file37.txt",".txt"
"31","0038","Taking this medication for multiple weeks, I became excessively angry, worse that I was before the medication.  I had rage outbursts as well as a constant anger with no reason.
","file38.txt",".txt"
"32","0039","I felt like a fog over my head finally lifted, I've never been more happy.  I find myself quite energetic.
","file39.txt",".txt"
"33","0040","I am so thankful that my doctor didn't settle for me feeling  ok  and kept searching for something better. He switched me from Cenerol to Sustify and added Prexifan. I haven't felt this good in years.
","file40.txt",".txt"
"34","0041","Wow!  I am amazed how good I feel.  I take 5 mg with Escalan 150 mg; I have been on Escalan for years.  I feel more confident in my daily routine...Not neagative anymore.  My husband say's that he is happy to hear me laugh again.  The only side affect I seem to have is trouble breathing.  Not sure if that is from the drug or that I have quite smoking since November of 09'.
","file41.txt",".txt"
"35","0042","I took Prexifan for 2 weeks. I liked that it made me feel better for the depression. However, it did make me where it was difficult to concentrate. I had blurred vision, nausea, vomiting, constipation, and terrible stomach cramps. My doc told me to quit taking it. It was doing more harm than good. This drug (2 mg) was too strong for me. I used it to treat MDD. I am glad this drug does help some people, but not me.
","file42.txt",".txt"
"36","0043","I've been taking Prexifan for a few months now. I lost 17 pounds, have a spotless apartment, but can't sit down for long, nor sleep for very long.  I then discovered Rescue Remedy a liquid herb that takes the edge off and helps sleep longer than a couple of hours. Drops under your tongue on in your water and you might be able to get a full 8 hrs of sleep, like I now do. I highly recommend this to all.
","file43.txt",".txt"
"37","0044","I have been on over 15 anti-depresents, nothing has worked or worked well for very long at if all.  I take cenerol 40mgs a day,amelorex 1mg a day, revinor 6mg a day. The cenerol worked for about 2-3 yrs the most of any drug, when it started waning my dr.put me on prexifan 10mgs a day, only side effect so far is sleeping  less with more energy, i even had to start taking it in the morning because it  kept me up, thats a good thing when you sleep 16hrs a day sometimes, but i have noticed some blurred vision during the afternoon, not bad though. I'm going to keep taking it for awhile and see,I've got nothing to lose!!!!
","file44.txt",".txt"
